Law,Bachelor of Civil Law,BCL,"An academic, not a professional designation. The BCL is a degree in professional law conferred by some Anglophone universities. It originated as a second baccalaureate degree at Oxford University; where it is still conferred at Oxford as a law degree higher than the BA in law, but it is also conferred by other institutions as a first baccalaureate degree.",
Law,Esquire,Esq.,"Used by attorneys who have been admitted to the bar. Use by non-attorneys may be restricted by law (see unauthorized practice of law); however, these provisions may not be enforceable on First Amendment grounds and because the abbreviation has never limited to the legal profession. It is used by some fraternal organisations, including a branch of Freemasonry that uses it as a degree; and, perhaps more importantly, it can be used by and in address to commissioned officers in the United States foreign service. Otherwise, 'Esq.' has been historically used by non-attorneys who are the fourth or later generation with the same name as a forebear, e.g. Henry Smith I, Henry Smith II, Henry Smith III, thereafter Henry Smith, Esq. Traditional etiquette directs courtesy titles like Esquire are not used with honorific or post-nomial abbreviations. But when Esquire or Esq. represent a professional qualification (legal or otherwise), the opposite rule applies; especially if there are multiple pre- and/or post-nomial abbreviations, e.g. Dr. Lt.Col. Henry J. Smith, Esq., J.D., M.D., Ph.D., USA (the last set of letters representing United States Army).",
Law,Justice of the Peace,J.P.,Denotes a level of judgeship,
Law,Notary Public,N.P.[46],"Notaries in the USA are commissioned by the Secretary of State or equivalent officers of a state, commonwealth, territory, or the District of Columbia. The federal United States does not commission notaries public. Notarial responsibility varies from state to state, with California notaries required to use a seal that contains the Great Seal of California while notaries from some other states are not required to have a seal at all.",
Law,Board Certified Civil Trial Attorney,,National Board of Trial Advocacy,
Law,Board Certified Criminal Trial Attorney,,National Board of Trial Advocacy,
Law,Board Certified Family Law Attorney,,National Board of Trial Advocacy,
Law,Certified Legal Assistant,CLA,"National Association of Legal Assistants; NALA, The Paralegal Association",
Law,Certified Paralegal,CP,"National Association of Legal Assistants; NALA, The Paralegal Association",
Law,Advanced Certified Paralegal,ACP,"National Association of Legal Assistants; NALA, The Paralegal Association",
Law,Accredited Legal Professional,ALP,NALS (formerly the National Association of Legal Secretaries),
Law,Professional Legal Secretary,PLS,NALS (formerly the National Association of Legal Secretaries),
Law,Professional Paralegal,PP,NALS (formerly the National Association of Legal Secretaries),
Law,Professional Registered Parliamentarian,PRP,National Association of Parliamentarians,
Law,Registered Paralegal,RP,NFPA (National Federation of Paralegal Associations),
Law,Registered Parliamentarian,RP,National Association of Parliamentarians,
Law,CORE Registered Paralegal,CRP,NFPA (National Federation of Paralegal Associations),
Law,Indiana Registered Paralegal,IRP,Indiana State Bar Association,
Law,North Carolina State Bar Certified Paralegal,NCCP,North Carolina State Bar,
Law,South Carolina Certified Paralegal,SCCP,South Carolina Bar,
Law,Judge,J.,"Judges - Additionally, many jurisdictions grant some or all judges the right to use postnominal letters, which they generally employ in lieu of ""Esq."" The most common is ""J."" (for ""Judge"" or """"Justice""), but more complex systems exist. For instance, in New Jersey, Judges of the New Jersey Superior Court are entitled to the postnomials ""J.S.C."", except for the a Presiding Judges of the Family, Civil, Criminal, and General Equity Parts in a vicinage (entitled to the letters ""P.J.F.P."", ""P.J. Civ. P."", ""P.J. Cr. P."", and ""P.J. Ch. P.""), a vicinage assignment judge (entitled to ""A.J.S.C.""), Appellate Division judges (""J.A.D."") and the Presiding Judge of the Appellate Division (""P.J.A.D.""). Justices of the Supreme Court of New Jersey are entitled to the simple postnomial ""J."", except for the Chief Justice, who uses ""C.J.""",
"Supply chain, logistics and transportation",Certified Professional in Supply Management,CPSM,Institute for Supply Management (ISM),
"Supply chain, logistics and transportation",Certified Professional in Supplier Diversity,CPSD,Institute for Supply Management (ISM),
"Supply chain, logistics and transportation",Certified Professional Logistician,CPL,International Society of Logistics,
"Supply chain, logistics and transportation",Certified in Production & Inventory Management,CPIM,APICS American Production & Inventory Control Society,
"Supply chain, logistics and transportation",Certified Supply Chain Professional,CSCP,APICS American Production & Inventory Control Society,
"Supply chain, logistics and transportation",Certified Transportation Professional,CTP,National Private Truck Council,
"Supply chain, logistics and transportation","Certified in Logistics, Transportation and Distribution",CLTD,APICS American Production & Inventory Control Society,
"Supply chain, logistics and transportation",Airline Transport Pilot,ATP,United States Federal Aviation Administration (FAA),
"Supply chain, logistics and transportation",Commercial Pilot,CP,United States Federal Aviation Administration (FAA),
"Supply chain, logistics and transportation",Certificated Flight Instructor,CFI,United States Federal Aviation Administration (FAA),
"Supply chain, logistics and transportation",Certificated Flight Instructor Instrument,CFII,United States Federal Aviation Administration (FAA),
"Supply chain, logistics and transportation",Certified Member [47],CM,American Association of Airport Executives (AAAE),
"Supply chain, logistics and transportation",Accredited Airport Executive [48],AAE,American Association of Airport Executives (AAAE),
Medicine and Health Care,Doctor of Chiropractic,DC,A professional doctoral degree for Chiropractors,
Medicine and Health Care,Doctor of Dental Medicine,DMD,A professional doctoral degree for Dentists,
Medicine and Health Care,,,,
Medicine and Health Care,Doctor of Dental Surgery,DDS,,
Medicine and Health Care,Doctor of Medicine,MD,A professional doctoral degree for allopathic Physicians,
Medicine and Health Care,Doctor of Naturopathic Medicine,ND,A professional doctoral degree for naturopathic Physicians,
Medicine and Health Care,,,,
Medicine and Health Care,,NMD,,
Medicine and Health Care,Doctor of Nurse Anesthesia Practice,DNAP,A professional doctoral degree for Nurse Anesthetists,
Medicine and Health Care,Doctor of Nursing Practice,DNP,A professional doctoral degree for Nurse Practitioners,
Medicine and Health Care,Doctor of Occupational Therapy,OTD,A professional doctoral degree for Occupational Therapists,
Medicine and Health Care,Doctor of Optometry,OD,A professional doctoral degree for Optometrists,
Medicine and Health Care,Doctor of Osteopathic Medicine,DO,A professional doctoral degree for osteopathic Physicians,
Medicine and Health Care,Doctor of Pharmacy,PharmD,A professional doctoral degree for Pharmacists,
Medicine and Health Care,Doctor of Physical Therapy,DPT,A professional doctoral degree for Physical Therapists,
Medicine and Health Care,Doctor of Physician Assistant Studies,DPAS,A professional doctoral degree for Physician Assistants,
Medicine and Health Care,,,,
Medicine and Health Care,,DsC,,
Medicine and Health Care,Doctor of Podiatric Medicine,DPM,A professional doctoral degree for Podiatrists,
Medicine and Health Care,Doctor of Psychology,PsyD,A professional doctoral degree for clinical Psychologists,
Medicine and Health Care,Master of Physician Assistant Studies,MPAS,The minimum degree required for licensure as a Physician Assistant,
Medicine and Health Care,,,,
Medicine and Health Care,,MsC,,
Medicine and Health Care,Master of Science in Nursing,MSN,A professional masters degree for Registered Nurses,
Medicine and Health Care,Bachelor of Science in Nursing,BSN,A professional bachelors degree for Registered Nurses,
Medicine and Health Care,Associate Degree in Nursing,N/A,The minimum degree required for licensure as a Registered Nurse,
Medicine and Health Care,Associate Degree in Paramedicine,N/A,The minimum degree required for licensure as a Paramedic,
Medicine and Health Care,State Licensure (post-nominals different then degree),,,
Medicine and Health Care,Certified Nursing Assistant,CNA,Assistive personnel that is state licensed and works under the direction of a Registered Nurse,
Medicine and Health Care,Emergency Medical Technician,EMT,"An EMT, AEMT or NRP must be certified by the NREMT to be eligible for initial state licensure",
Medicine and Health Care,,,,
Medicine and Health Care,Advanced Emergency Medical Technician,AEMT,,
Medicine and Health Care,,,,
Medicine and Health Care,Paramedic,NRP,,
Medicine and Health Care,Licensed Clinical Social Worker,LCSW,State licensed Social Worker,
Medicine and Health Care,,,,
Medicine and Health Care,Licensed Master Social Worker,LMSW,,
Medicine and Health Care,Licensed Practical Nurse,LPN,Licensed by a state board of nursing and works under the direction of a Registered Nurse,
Medicine and Health Care,,,,
Medicine and Health Care,Licensed Vocational Nurse,LVN,,
Medicine and Health Care,Nurse Practitioner,NP,State licensed Advance Practice Registered Nurse,
Medicine and Health Care,,,,
Medicine and Health Care,Advanced Practice Nurse,APN,,
Medicine and Health Care,,,,
Medicine and Health Care,Advanced Practice Registered Nurse,APRN,,
Medicine and Health Care,,,,
Medicine and Health Care,Certified Registered Nurse Anesthetist,CRNA,,
Medicine and Health Care,,,,
Medicine and Health Care,Certified Nurse Midwife,CNM,,
Medicine and Health Care,Occupational Therapist,OT,State licensed Occupational Therapist,
Medicine and Health Care,Physician Assistant,PA-C,A Physician Assistant must be certified by the NCCPA to be eligible for initial state licensure,
Medicine and Health Care,Physical Therapist,PT,State licensed Physical Therapist,
Medicine and Health Care,Registered Dental Hygienist,RDH,State licensed Dental Hygienist,
Medicine and Health Care,Registered Dietitian,RD,A Registered Dietitian must be certified by the Commission on Dietetic Registration to be eligible for initial state licensure,
Medicine and Health Care,,,,
Medicine and Health Care,,RDN,,
Medicine and Health Care,Registered Nurse,RN,State licensed Registered Nurse,
Medicine and Health Care,Registered Pharmacist,RPh,State licensed Pharmacist,
Medicine and Health Care,Registered Respiratory Therapist,RRT,A Respiratory Therapist must be certified by the NBRC to be eligible for initial state licensure,
Medicine and Health Care,,,,
Medicine and Health Care,,CRT,,
Medicine and Health Care,Fellowships,,,
Medicine and Health Care,Fellow of the American Academy of Family Physicians,FAAFP,American Academy of Family Physicians,
Medicine and Health Care,Fellow of the American Society for Parenteral and Enteral Nutrition,FASPEN,American Society for Parenteral and Enteral Nutrition,
Medicine and Health Care,Fellow of the American Geriatrics Society,AGSF,American Geriatrics Society,
Medicine and Health Care,Fellow of the American Academy of Neurology,FAAN,American Academy of Neurology,
Medicine and Health Care,Fellow of the American Society of Health-System Pharmacists,FASHP,American Society of Health-System Pharmacists,
Medicine and Health Care,Fellow of the American College of Emergency Physicians,FACEP,American College of Emergency Physicians,
Medicine and Health Care,Fellow of the Aerospace Medical Association,FAsMA,Aerospace Medical Association,
Medicine and Health Care,Fellow of the Academy of Emergency Medical Services,FAEMS,National Association of EMS Physicians,
Medicine and Health Care,Fellow of the Academy of Operational Medicine,FAOM,Academy of Operational Medicine,
Medicine and Health Care,Fellow of the Academy of Wilderness Medicine,FAWM,Wilderness Medical Society,
Medicine and Health Care,Fellow of the American Academy of Pediatrics,FAAP,American Academy of Pediatrics,
Medicine and Health Care,Fellow of the American College of Cardiology,FACC,American College of Cardiology,
Medicine and Health Care,Fellow of the American College of Dentists,FACD,American College of Dentists,
Medicine and Health Care,Fellow of the American College of Endocrinology,FACE,American College of Endocrinology,
Medicine and Health Care,Fellow of the American College of Epidemiology,FACE,American College of Epidemiology,
Medicine and Health Care,Fellow of the American College of Physicians,FACP,American College of Physicians,
Medicine and Health Care,Fellow of the American Heart Association,FAHA,American Heart Association,
Medicine and Health Care,Fellow of the American Vein & Lymphatic Society,FACPh,American Vein & Lymphatic Society,
Medicine and Health Care,Fellow of the American College of Surgeons,FACS,American College of Surgeons,
Medicine and Health Care,Fellow of the American Academy of Orthopaedic Surgeons,FAAOS,American Academy of Orthopaedic Surgeons,
Medicine and Health Care,Fellow of the American Academy of Neurological Surgeons,FAANS,American Academy of Neurological Surgeons,
Medicine and Health Care,Fellow of the American College of Foot and Ankle Surgeons,FACFAS,American College of Foot and Ankle Surgeons,
Medicine and Health Care,Fellow of the American College of Osteopathic Family Physicians,FACOFP,American College of Osteopathic Family Physicians,
Medicine and Health Care,Fellow of the American Congress of Obstetricians and Gynecologists,FACOG,American Congress of Obstetricians and Gynecologists,
Medicine and Health Care,Fellow of the Infectious Diseases Society of America,FIDSA,Infectious Diseases Society of America,
Medicine and Health Care,Certifications (not required for licensure),,,
Medicine and Health Care,American Board of Professional Psychology,ABPP,"Qualification beyond state licensure currently in 13 specialties, including clinical, school, and forensic psychology",
Medicine and Health Care,Basic Life Support Instructor,BLS-I,Any credentialing organization that conforms to the recent International Liaison Committee on Resuscitation guidelines for Basic Life Support.,
Medicine and Health Care,Certified Genetic Counselor,CGC,"The American Board of Genetic Counseling (ABGC) is the credentialing organization for the genetic counseling profession in the United States and Canada. The ABGC certifies and recertifies qualified genetic counseling professionals. In this way, the work of the ABGC protects the public and promotes the ongoing growth and development of the genetic counseling profession.[49]",
Medicine and Health Care,Certified Eating Disorder Specialist,CEDS,International Association of Eating Disorder Professionals[50],
Medicine and Health Care,Certified Health Education Specialist,CHES,"National Commission for Health Education Credentialing, Inc.",
Medicine and Health Care,Credentialed Professional Gerontologist,CPG,National Association for Professional Gerontologists,
Medicine and Health Care,Master Certified Health Education Specialist,MCHES,"National Commission for Health Education Credentialing, Inc.",
Medicine and Health Care,Certified Director of Assisted Living,CDAL,"Senior Living Certification Commission (SLCC) is a nonprofit corporation, autonomous from Argentum, with its own governing Board of Commissioners. SLCC offers a voluntary certification program for assisted living executive directors.",
Medicine and Health Care,Certified Healthcare Simulation Educator,CHSE,Society for Simulation in Healthcare,
Medicine and Health Care,Certified Healthcare Simulation Educator (Advanced),CHSE-A,Society for Simulation in Healthcare,
Medicine and Health Care,Certified Healthcare Simulation Operations Specialist,CHSOS,Society for Simulation in Healthcare,
Medicine and Health Care,Certified HIPAA Privacy Associate,CHPA,"Basic level certification for covered entities and business associates employees, interns, volunteers and others.",
Medicine and Health Care,Certified HIPAA Privacy Expert,CHPE,"Intermediate level certification for covered entities and business associates employees who need to validate their HIPAA Privacy knowledge. This certification is mainly for HR staff, privacy consultants and Privacy compliance team members.",
Medicine and Health Care,Certified HIPAA Privacy Security Expert,CHPSE,"Highest level of certification for covered entities and business associates HIPAA compliance officer who need to validate their HIPAA Privacy & Security knowledge. This certification is mainly for compliance staff, HIPAA consultants, HIPAA auditors and HIPAA Compliance officer.",
Medicine and Health Care,Certified Health Physicist / Diplomate of the American Board of Health Physics,CHP / DABHP,Certification as a professional health physicist awarded by the American Board of Health Physics and the American Academy of Health Physics.[51],
Medicine and Health Care,Registered Radiation Protection Technologist,RRPT,Registration as a Radiation Protection Technologist by meeting the required standards set forward by the National Registry of Radiation Protection Technologists.[52],
Medicine and Health Care,Certified HIPAA Professional,CHP,,
Medicine and Health Care,Certified Professional in Infection Control,CIC,,
Medicine and Health Care,Certified Hospice and Palliative Licensed Nurse,CHPLN,"must hold a current, unrestricted practical/vocational nurse license in the United States or its territories and must have hospice and palliative licensed practical/vocational nursing practice of 500 hours in the most recent 12 months or 1000 hours in the most recent 24 months prior to applying for the examination.[53]",
Medicine and Health Care,Certified HIPAA Security Expert,CHSE,"Intermediate level certification for covered entities and business associates employees who need to validate their HIPAA Security knowledge. This certification is mainly for IT staff, security consultants and Security compliance team members.",
Medicine and Health Care,Certified HIPAA Security Specialist,CHSS,,
Medicine and Health Care,Certified in Medical Quality,CMQ,American College of Medical Quality (ACMQ),
Medicine and Health Care,Certified Orthotist,CO,Certified by the American Board for Orthotist/Prosthetics Certification (ABC),
Medicine and Health Care,Certified Sex Therapist,CST,,
Medicine and Health Care,Certified Tissue Banking Specialist,CTBS,,
Medicine and Health Care,"Certified Wound, Ostomy, and Continence Nurse","CWOCN, CWCN, COCN, CCCN, or CWON",Must hold a bachelor's degree in Nursing and complete WOC Education Program accredited by the WOCN Society. Certification must be re-established every five years.,
Medicine and Health Care,Diplomate of the American Board of Medical Physics,DABMP,,
Medicine and Health Care,Diplomate of the American Board of Radiology,DABR,,
Medicine and Health Care,Diplomate of the American Board of Science in Nuclear Medicine,DABSNM,,
Medicine and Health Care,National Board for Certification in Hearing Instrument Sciences,NBC-HIS,"The achievement of this designation represents the initiative to excel beyond the normal requirements for operating a hearing instrument dispensing practice. The designation, BC-HIS (Board Certified in Hearing Instrument Sciences), distinguishes the Board Certificant's outstanding skills and professional expertise needed for completion of the National Competency Exam.",
Medicine and Health Care,Board Certified Critical Care Paramedic,CCP-C,International Board of Specialty Certification (IBSC),
Medicine and Health Care,Board Certified Flight Paramedic,FP-C,International Board of Specialty Certification (IBSC),
Medicine and Health Care,Board Certified Community Paramedic,CP-C,International Board of Specialty Certification (IBSC),
Medicine and Health Care,Board Certified Tactical Paramedic,TP-C,International Board of Specialty Certification (IBSC),
Medicine and Health Care,Board Certified Tactical Responder,TR-C,International Board of Specialty Certification (IBSC),
Medicine and Health Care,Board Certified Designated Infection Control Officer,DICO-C,International Board of Specialty Certification (IBSC),
Medicine and Health Care,Board Certified Wilderness Paramedic,WP-C,"International Board of Specialty Certification (IBSC) [In preparatory phase as of August, 2022]",
Medicine and Health Care,Mobile Intensive Care Paramedic (Alaska),MICP,MICPs are currently licensed by the Alaska State Medical Board,
Medicine and Health Care,Certified Massage Therapist,CMT,Certification by individual state boards,
Medicine and Health Care,Licensed Massage Therapist,LMT,Licensure by individual state boards,
Medicine and Health Care,,,Requires passing of NCETMB or MBLEx,
Medicine and Health Care,Licensed Clinical Massage Therapist,LCMT,Licensure by individual state boards,
Medicine and Health Care,,,Requires passing of NCETMB or MBLEx,
Medicine and Health Care,,,Clinical education specialized for health care practice,
Medicine and Health Care,Licensed Midwife,LM,state or provincial licensing,
Medicine and Health Care,Certified Professional Midwife,CPM,North American Registry of Midwives,
Medicine and Health Care,Nationally Certified EMS Educator,NCEE,Education credential awarded by the National Association of EMS Educators upon demonstrated experience teaching EMS programs and earning a successful passing score on the National EMS Educator Certification (NEMSEC) Exam,
Medicine and Health Care,Music Therapist- Board Certified,MT-BC,Certification Board for Music Therapists[54],
Medicine and Health Care,Certified Occupational Therapy Assistant,COTA,State licensure; National Board for Certification of Occupational Therapists[55],
Medicine and Health Care,Physical Therapy Assistant,PTA,State licensure,
Medicine and Health Care,Certified in Public Health,CPH,National Board of Public Health Examiners,
Medicine and Health Care,Medical Laboratory Scientist,MLS,American Society for Clinical Pathology,
Medicine and Health Care,Medical Technologist,MT,"State Licensure, American Medical Technologists",
Medicine and Health Care,Medical Laboratory Technician,MLT,"State Licensure, American Society for Clinical Pathology, American Medical Technologists",
Medicine and Health Care,Licensed Professional Counselor,LPC or LCPC,State licensure,
Medicine and Health Care,Licensed Associate Counselor,LAC,State licensure,
Medicine and Health Care,Certified Tissue Bank Specialist,CTBS,American Association of Tissue Banks,
Medicine and Health Care,National Board Certified Clinical Hypnotherapist,NBCCH,National Board for Certified Clinical Hypnotherapists,
Medicine and Health Care,National Board Certified Clinical Hypnotherapist in Public Service,NBCCH-PS,National Board for Certified Clinical Hypnotherapists,
Medicine and Health Care,National Board Certified Diplomate in Clinical Hypnotherapy,NBCDCH,National Board for Certified Clinical Hypnotherapists,
Medicine and Health Care,National Board Certified Diplomate in Clinical Hypnotherapy in Public Service,NBCDCH-PS,National Board for Certified Clinical Hypnotherapists,
Medicine and Health Care,National Board Certified Fellow in Clinical Hypnotherapy,NBCFCH,National Board for Certified Clinical Hypnotherapists,
Medicine and Health Care,National Board Certified Fellow in Clinical Hypnotherapy in Public Service,NBCFCH-PS,National Board for Certified Clinical Hypnotherapists,
Medicine and Health Care,Licensed Acupuncturist,L.Ac.,State licensure,
Medicine and Health Care,Diplomate in Acupuncture,Dipl.Ac.,National Certification Commission for Acupuncture and Oriental Medicine,
Medicine and Health Care,Diplomate in Oriental Medicine,Dipl.O.M.,National Certification Commission for Acupuncture and Oriental Medicine,
Medicine and Health Care,Diplomate of the American Board of Family Medicine,DABFM,American Board of Family Medicine,
Medicine and Health Care,Diplomate of the American Board of Medical Microbiology,D(ABMM),American Board of Medical Microbiology[56],
Medicine and Health Care,Diplomate of the American Board of Venous & Lymphatic Medicine,DABVLM,American Board of Venous & Lymphatic Medicine,
Medicine and Health Care,Certified Aerospace Physiologist,CAsP,Aerospace Medical Association,
Medicine and Health Care,Certified Pharmacy Technician,CPhT,Pharmacy Technician Certification Board,
Medicine and Health Care,Certified Phlebotomy Technician,CPT,National Healthcareer Association,
Medicine and Health Care,Certified Personal Trainer,CPT,"Aerobics and Fitness Association of America, National Academy of Sports Medicine, American Council on Exercise, National Strength & Conditioning Association",
Medicine and Health Care,Certified Athletic trainer,ATC,"Board of Certification, Inc.",
Medicine and Health Care,,,,
Medicine and Health Care,,,May be restricted by state licensure.,
Medicine and Health Care,Certified Medical Assistant,CMA,American Association of Medical Assistants,
Medicine and Health Care,Registered Diagnostic Medical Sonographer,RDMS,American Registry for Diagnostic Medical Sonography,
Medicine and Health Care,Registered Vascular Technologist,RVT,American Registry for Diagnostic Medical Sonography,
Medicine and Health Care,Registered Diagnostic Cardiac Sonographer,RDCS,American Registry for Diagnostic Medical Sonography,
Medicine and Health Care,Registered Musculoskeletal Sonographer,RMSKS,American Registry for Diagnostic Medical Sonography,
Military,United States Army,USA,,
Military,United States Army Reserve,USAR,,
Military,United States Navy,USN,,
Military,United States Navy Reserve,USNR,,
Military,United States Air Force,USAF,,
Military,United States Air Force Reserve,USAFR,,
Military,United States Marine Corps,USMC,,
Military,United States Marine Corps Reserve,USMCR,,
Military,United States Coast Guard,USCG,,
Military,United States Coast Guard Auxiliary,USCG Aux,,
Military,United States Space Force,USSF,,
Military,Retired,(Ret.),,
Military,Veteran,(Vet.),,
Real estate,Member of the Appraisal Institute[57],MAI,Appraisal Institute,
Real estate,Senior Residential Appraiser[57],SRA,Appraisal Institute,
Real estate,Accredited Member[58],AM,American Society of Appraisers,
Real estate,Accredited Senior Appraiser[58],ASA,American Society of Appraisers,
Real estate,Real Property Administrator[59],RPA,Building Owners and Managers Association International,
Real estate,Facilities Management Administrator[59],FMA,Building Owners and Managers Association International,
Real estate,Systems Maintenance Technician[59],SMT,Building Owners and Managers Association International,
Real estate,Systems Maintenance Administrator[59],SMA,Building Owners and Managers Association International,
Real estate,High-Performance Sustainable Building Management[59],HP,Building Owners and Managers Association International,
Real estate,Counselor of Real Estate [60],CRE,The Counselors of Real Estate,
Real estate,Assessment Administration Specialist[61],AAS,International Association of Assessing Officers,
Real estate,Certified Assessment Evaluator[62],CAE,International Association of Assessing Officers,
Real estate,Cadastral Mapping Specialist[63],CMS,International Association of Assessing Officers,
Real estate,Personal Property Specialist[64],PPS,International Association of Assessing Officers,
Real estate,Residential Evaluation Specialist[65],RES,International Association of Assessing Officers,
Real estate,Master in Residential Marketing [66],MIRM,National Association of Home Builders,
Real estate,Certified Green Professional [66],CGP,National Association of Home Builders,
Real estate,Certified Graduate Builder[66],CGB,National Association of Home Builders,
Real estate,Certified Graduate Associate[66],CGA,National Association of Home Builders,
Real estate,Master Certified New Home Sales Professional [66],Master CSP,National Association of Home Builders,
Real estate,Certified Aging-in-Place Specialist[66],CAPS,National Association of Home Builders,
Real estate,Certified New Home Marketing Professional [66],CMP,National Association of Home Builders,
Real estate,Housing Credit Certified Professional [66],HCCP,National Association of Home Builders,
Real estate,Certified New Home Sales Professional [66],CSP,National Association of Home Builders,
Real estate,Graduate Master Remodeler [66],GMR,National Association of Home Builders,
Real estate,Graduate Master Builder[66],GMB,National Association of Home Builders,
Real estate,Certified Graduate Remodeler [66],CGR,National Association of Home Builders,
Real estate,Facilities Management Professional [66],FMP,International Facility Management Association,
Real estate,Sustainability Facility Professional [66],SFP,International Facility Management Association,
Real estate,Certified Facilities Manager [66],CFM,International Facility Management Association,
Real estate,Accredited Buyer's Representative,ABR,National Association of Realtors,
Real estate,Graduate Realtor Institute,GRI,National Association of Realtors,
Real estate,Accredited Land Consultant,ALC,National Association of Realtors,
Real estate,Certified International Property Specialist,CIPS,National Association of Realtors,
Real estate,Certified Property Manager,CPM,National Association of Realtors,
Real estate,Certified Commercial Investment Member,CCIM,National Association of Realtors,
Real estate,Certified Corporate Housing Professional,CCHP,Corporate Housing Providers Association,
Real estate,Member of the National Association of Appraisers[67],MNAA,National Association of Appraisers,
Real estate,General Appraiser,MRA,Massachusetts Board of Real Estate Appraisers,
Real estate,Residential Appraiser,RA,Massachusetts Board of Real Estate Appraisers,
Religion and theology,Doctor of Divinity,DD,Used by those who have been granted an honorary degree by theological seminary or university in the United States.,
Religion and theology,Doctor of Theology,ThD,"Used by those who have earned a doctorate in academic studies at a theological seminary or university. At those institutions offering it, it is considered a terminal degree in academic theology (at other institutions it is the PhD or DPhil in theology).",
Religion and theology,Doctor of Ministry,DMin,Used by those who have earned a professional doctorate degree at a theological seminary or university.,
Religion and theology,Master of Theology,ThM,Used by those who have earned a master in academic studies at a theological seminary or university.,
Religion and theology,Master of Divinity,MDiv,"Used by those who have earned a professional master's degree at a theological seminary or university. Although it is a master's degree, academic completion requires 3 years of graduate training and it is considered a terminal degree in this field.",
Religion and theology,Master of Theological Studies,MTS,Used by those who have earned a master's degree at a theological seminary or university.,
Religion and theology,Certified Church Business Administrator,CCA,National Association of Church Business Administrators,
Religion and theology,Knight/Dame of the Equestrian Order of the Holy Sepulchre of Jerusalem,KHS/DHS,Equestrian Order of the Holy Sepulchre of Jerusalem,
Religion and theology,Knight/Dame Commander of the Equestrian Order of the Holy Sepulchre of Jerusalem,KCHS/DCHS,Equestrian Order of the Holy Sepulchre of Jerusalem,
Religion and theology,Knight/Dame Commander with Star of the Equestrian Order of the Holy Sepulchre of Jerusalem,KC*HS/DC*HS,Equestrian Order of the Holy Sepulchre of Jerusalem,
Religion and theology,Knight/Dame Grand Cross of the Equestrian Order of the Holy Sepulchre of Jerusalem,GCHS,Equestrian Order of the Holy Sepulchre of Jerusalem,
Telecommunications and cable,Broadband Installation Professional,BPI,Society of Cable and Telecommunication Engineers / International Society of Broadband Experts,
Telecommunications and cable,Broadband Premises Technician,BPT,,
Telecommunications and cable,Broadband Premises Expert,BPE,,
Telecommunications and cable,Business Class Services Specialist,BCSS,,
Telecommunications and cable,Broadband Distribution Specialist,BDS,,
Telecommunications and cable,Broadband Transport Specialist,BTS,,
Telecommunications and cable,Broadband TelecomCenter Specialist,BTCS,,
Telecommunications and cable,DOCSIS Engineering Professional,DEP,,
Telecommunications and cable,Digital Video Engineering Professional,DVEP,,
Telecommunications and cable,Internet Protocol Engineering Professional,IPEP,,
Veterinary medicine,Doctor of Veterinary Medicine,DVM,"A professional doctoral degree for veterinarians. VMD stands for the Latin ""Veterinariae Medicinae Doctoris"" and is exclusively conferred by the University of Pennsylvania School of Veterinary Medicine.",
Veterinary medicine,VMD,,,
Veterinary medicine,Diplomate of the American Board of Veterinary Practitioners,DABVP,Used by veterinarians who have pursued specialized training in a specific species and passed board examination. The ABVP has 12 recognized specialty groups:[68],
Veterinary medicine,,,,
Veterinary medicine,,,Avian,
Veterinary medicine,,,Beef cattle,
Veterinary medicine,,,Canine and feline,
Veterinary medicine,,,Dairy,
Veterinary medicine,,,Equine,
Veterinary medicine,,,Exotic companion mammal,
Veterinary medicine,,,Feline,
Veterinary medicine,,,Fish,
Veterinary medicine,,,Food animal,
Veterinary medicine,,,Reptile and amphibian,
Veterinary medicine,,,Shelter medicine,
Veterinary medicine,,,Swine health management,
Veterinary medicine,,,,
Veterinary medicine,Diplomate of the American Board of Veterinary Toxicology,DABVT,[69],
Veterinary medicine,Diplomate of the American College of Animal Welfare,DACAW,[70],
Veterinary medicine,Diplomate of the American College of Laboratory Animal Medicine,DACLAM,[71],
Veterinary medicine,Diplomate of the American College of Poultry Veterinarians,DACPV,[72],
Veterinary medicine,Diplomate of the American College of Theriogenologists,DACT,[73],
Veterinary medicine,Diplomate of the American College of Veterinary Anesthesia and Analgesia,DACVAA,[74],
Veterinary medicine,Diplomate of the American College of Veterinary Behaviorists,DACVB,[75],
Veterinary medicine,Diplomate of the American College of Veterinary Clinical Pharmacology,DACVCP,[76],
Veterinary medicine,Diplomate of the American College of Veterinary Dermatology,DACVD,[77],
Veterinary medicine,Diplomate of the American College of Veterinary Internal Medicine,DACVIM,Used by veterinary internal medicine specialists who have completed a post-doctoral internship and an accredited residency program.[78] There are six concentrations that can be pursued:,
Veterinary medicine,,,,
Veterinary medicine,,,Cardiology,
Veterinary medicine,,,Small animal internal medicine,
Veterinary medicine,,,Large animal internal medicine,
Veterinary medicine,,,Neurology,
Veterinary medicine,,,Nutrition,
Veterinary medicine,,,Oncology,
Veterinary medicine,,,,
Veterinary medicine,Diplomate of the American College of Veterinary Microbiologists,DACVM,There are four concentrations within this specialty:[79],
Veterinary medicine,,,,
Veterinary medicine,,,Bacteriology and mycology,
Veterinary medicine,,,Immunology,
Veterinary medicine,,,Parasitology,
Veterinary medicine,,,Virology,
Veterinary medicine,,,,
